Ativo;Cidade;Estado;Data;%;ABL Transação;ABL Total;Valor Transação (R$);R$/m²;Cap rate;Comprador;Vendedor;Estrutura;Detalhes;Fato Relevante / Fonte;
Portfólio SNLG11;-;-;set/24;100%;89.351;89.351;299.000.000;3.346;8,70%;GGRC11;SNLG11;-;-;Fundos.NET;
Módulos BM e CEA;Mauá | Atibaia;SP;set/24;100%;33.042;33.042;94.412.105;2.857;-;Invista Galpões FII;XPIN11;Sellers Finance;30% à vista | Restante em 5 parcelas semestrais, com correção por IPCA  (última em Janeiro/2027);Fundos.NET;
LOG Goiânia I;Goiânia;GO;set/24;100%;78.223;78.223;251.195.229;3.211;7,70%;HGLG11;INLG11 (46%);Sellers Finance;40% à vista | 30% em Abril/2025 | 30% em Setembro/2025, com correção por IPCA;Fundos.NET;
Centro Logístico Piracicaba;Piracicaba;SP;set/24;100%;67.988;67.988;201.365.104;2.962;8,00%;XPLG11;-;Cotas;14% em $ | 86% via cotas do XPLG;Fundos.NET;
Meli Santo Agostinho;Cabo de Santo Agostinho;PE;set/24;3%;1.878;71.954;10.210.482;5.437;7,82%;HGLG11;-;-;-;Fundos.NET;
CitLog Viracopos;Campinas;SP;set/24;100%;138.869;138.869;351.900.000;2.534;4,98%;-;HLOG11;Sellers Finance;30% à vista | 15% após 6 meses | 15% após 6 meses | 40% após 6 meses, com correção por CDI (última em Abril/2026);Fundos.NET;
Aptiv Espírito Santo do Pinhal;Espírito Santo do Pinhal;SP;out/24;100%;19.192;19.192;47.500.006;2.475;9,90%;GGRC11;ALZR11;Sellers Finance + Cotas;81% via cotas do GGRC | 10% no fechamento | 9% em Julho/2025;Fundos.NET;
Galpão Cajamar;Cajamar;SP;out/24;100%;51.109;51.109;165.000.000;3.228;10,00%;BTLG11;-;Sellers Finance;69% à vista | 15% após 12 meses | 16% após 12 meses (Outubro/2026);Fundos.NET;
Galpão Cariacica;Cariacica;ES;out/24;50%;41.739;83.478;206.734.784;4.953;-;HGLG11;-;Sellers Finance + CRI;93% à vista | 7% após 12 meses (Outubro/2025) + CRI de R$120mm ;Fundos.NET;
BTLG Campinas I;Campinas;SP;nov/24;100%;1.999;1.999;28.500.000;14.257;8,01%;GGRC11;BTLG11;Sellers Finance + Cotas;45% via cotas do GGRC | 22% em Junho/2025 | 22% em Dezembro/2025, com correção por IPCA;Fundos.NET;
BTLG Camaçari;Camaçari;BA;nov/24;100%;4.415;4.415;28.500.000;6.455;9,85%;GGRC11;BTLG11;Sellers Finance + Cotas;45% via cotas do GGRC | 22% em Junho/2025 | 22% em Dezembro/2025, com correção por IPCA;Fundos.NET;
BTLG Santa Luzia;Santa Luzia;MG;nov/24;100%;16.120;16.120;80.000.000;4.963;6,36%;GGRC11;BTLG11;-;-;Fundos.NET;
Parque Logístico Osasco;Osasco;SP;nov/24;15%;4.504;29.631;20.800.000;4.618;6,80%;-;VILG11;Sellers Finance;42% à vista | 58% em 12 parcelas, com correção por IPCA;ce465a50-3264-586a-ce7e-d88118071dda;
LOG Fortaleza III;Fortaleza;CE;dez/24;100%;98.630;98.630;315.300.000;3.197;8,47%;BTLC11;LOG CP;Sellers Finance;55% à vista | 45% após 24 meses, com correção por IPCA (Dezembro/2026);Fundos.NET;
LOG Viana II;Viana;MG;dez/24;100%;50.973;50.973;177.100.000;3.474;8,47%;BTLC11;LOG CP;Sellers Finance;55% à vista | 45% após 24 meses, com correção por IPCA (Dezembro/2026);Fundos.NET;
Ativo Igarassu;Igarassu;PE;dez/24;100%;58.822;58.822;190.000.000;3.230;-;BLOG11;Richard Sounders;-;-;Fundos.NET;
Vila Prudente;Vila Prudente;SP;jan/25;100%;12.636;12.636;52.000.000;4.115;6,39%;-;HLOG11;Sellers Finance;97% à vista | 3% após 15 meses, com correção por CDI (Abril/2026);Fundos.NET;
G01 Condomínio MM2;Cabo de Santo Agostinho;PE;jan/25;100%;110.052;110.052;313.350.000;2.847;-;FII Golgi;XPLG11;Sellers Finance;40% à vista | 60% em 39 parcelas mensais, com correção por IPCA (última em Abril/2028);Fundos.NET;
CD Jundiaí;Jundiaí;SP;fev/25;100%;305.568;305.568;1.070.244.706;1.792;11,00%;MCLO11;Icon Realty;Sellers Finance;90% à vista | 10% após 12 meses, com correção por IPCA (Fevereiro/2026);Fundos.NET;
CD Cajamar;Cajamar;SP;fev/25;100%;75.574;75.574;;;;MCLO11;Icon Realty;;;;
CD Duque de Caxias;Duque de Caxias;RJ;fev/25;100%;180.356;180.356;;;;MCLO11;Icon Realty;;;;
CD Ribeirão Preto;Ribeirão Preto;SP;fev/25;100%;35.755;35.755;;;;MCLO11;Icon Realty;;;;
DP Rio;Rio de Janeiro;RJ;fev/25;100%;65.567;65.567;1.136.000.000;3.459;9,30%;XP Prime Yield;Hines;Sellers Finance + CRI;50% à vista | 18% em Março/2026 | 12% em Setembro/2026 | 20% em Março/2027, com correção por IPCA + CRI R$410 mm NTN-B + 2%, prazo de 5 anos (duas tranches, em Março/2025 e Março/2026, carência de 10% dos juros nos 2 primeiros anos, amortização bullet);Fundos.NET;
DP Manaus I;Manaus;AM;fev/25;100%;105.153;105.153;;;;XP Prime Yield;Hines;;;;
DP Manaus II;Manaus;AM;fev/25;100%;69.055;69.055;;;;XP Prime Yield;Hines;;;;
DP Cajamar;Cajamar;SP;fev/25;100%;88.674;88.674;;;;XP Prime Yield;Hines;;;;
BRF Visa;Vitória de Santo Antão;PE;mar/25;100%;30.694;30.694;273.442.170;8.909;6,60%;-;GARE11;Sellers Finance;24 Parcelas;Fundos.NET;
Braspark;Garuva;SC;mar/25;100%;22.700;22.700;68.400.000;3.013;9,47%;BLOG11;Braspark;-;-;https://siila.com.br/noticias/bluecap-log-fii-adquire-imovel-logistico-100-locado-santa-catarina/7592/lang/pt-br;
BM Salvador;Salvador;BA;abr/25;100%;12.257;12.257;37.500.000;3.059;;BMLG11;-;Sellers Finance;12% à vista | 76% na primeira parcela | 12% na segunda parcela;https://api.mziq.com/mzfilemanager/v2/d/f65daedc-cf98-4d28-93ea-0ea334696b27/e48af680-54aa-c958-c747-b56d95447860?origin=1;
BMLog Jandira;Jandira;SP;jun/25;100%;17.127;17.127;40.167.306;2.345;;-;BMLG11;-;-;Microsoft Word - 20250606 - FII - BLMG - FR - Alienacao Ativo;
CD Pirituba;São Paulo;SP;jun/25;100%;14.231;14.231;35.250.000;2.477;;SNLG11;GGRC11;À vista;;GGRC11 - Fato Relevante - Pirituba;
CD Martin Brower;Curitiba;PR;jun/25;100%;6.592;6.592;35.475.000;5.382;11,85%;BMLG11;;Sellers Finance;4% à vista | 93% 5 dias úteis depois | 3% 18 meses depois;GGRC11 - Fato Relevante - Martin Brower;
Parque Logístico Osasco;Osasco;SP;nov/25;100%;23.705;23.705;850.720.360;3.435;9,20%;HGLG11;VILG11;Sellers Finance;82% à vista - CRI + 10º emissão |  13% em 1 ano | 5% em 2 anos;https://api.mziq.com/mzfilemanager/v2/d/8888cd4d-511c-49d0-95ed-5401b6e4cf44/9f5e7ef1-e9db-2af2-c314-278980c3bb95?origin=1;
Porto Canoa Log;Serra;ES;nov/25;100%;95.020;95.020;;;;;;;;;
Fernão Dias Business Park;Extrema;MG;nov/25;100%;58.017;58.017;;;;;;;;;
CD Privalia;Extrema;MG;nov/25;100%;26.773;26.773;;;;;;;;;
Betim Business Park;Betim;MG;nov/25;100%;44.164;44.164;;;;;-;;;;
BTS Mercado Livre;Araucária;PR;set/25;44%;39.960;91.190;207.934.574;2.280;8,50%;TRXF11;;Sellers Finance;;Fundos.NET;
Parque Logístico Guarulhos;Guarulhos;SP;nov/05;100%;105.638;105.638;807.704.450;4.501;8,30%;HSLG;CYLD11;Sellers Finance + Cotas;50% em cotas | 20% em dívidas assumidas | 20% em 1 ano | 30% em 2 anos;;
Parque Logístico Embu;Embu das Artes;SP;nov/05;100%;39.475;39.475;;;;;;;;;
Parque Novo Mundo;São Paulo;SP;nov/05;100%;34.337;34.337;;;;;;;;;
WTLOG RBR ;Franco da Rocha;SP;dez/25;100%;33.616;33.616;1.593.315.051;5.681;9,70%;XPLG11;RBRL11;Cash + Cotas;27% em cash | 73% em cotas da 8º oferta do XPLG11;;
Extrema I;Extrema;MG;dez/25;100%;37.600;37.600;;;;;;;;;
Extrema II;Extrema;MG;dez/25;100%;77.106;77.106;;;;;;;;;
Hortolândia I;Hortolândia;SP;dez/25;100%;15.349;15.349;;;;;;;;;
Hortolândia II;Hortolândia;SP;dez/25;100%;43.123;43.123;;;;;;;;;
Bricklog Guarulhos;Guarulhos;SP;dez/25;100%;11.198;11.198;;;;;RDL11;;;;
CL Imigrantes V;São Bernardo do Campo;SP;dez/25;100%;62.457;62.457;;;;;;;;;
BTLG Osasco;Osasco;SP;dez/25;100%;35.011;35.011;385.960.000;4.626;8,50%;BTLG11;CPLG11;Sellers Finance;87% à vista | 13% em 12 meses corrigidos por IPCA + 5%;;
BTLG Mauá II;Mauá;SP;dez/25;100%;48.417;48.417;;;;;;;;;
